id,キャンペーン名,分類
dOB,【お電話でご入会】,OB
OB,【お電話でご入会】,OB
d19062001,dミールキットご入会特別キャンペーン,転換＆直入会
d21111812,dミールキット_ご入会特別キャンペーン,体験入会
d21120701,dミールキット_ご入会特別キャンペーン,体験入会
d21122002,dミールキット_ご入会特別キャンペーン,体験入会
d21080401,dミールキット_ペイド,体験入会
d21111811,お誕生月,体験入会
d21122001,お誕生月,体験入会
d21100501,dミールキット_ペイド,体験入会
d20061803,子育て応援プログラム会員,子育て
d21092901,dミールキット_DS,DS
d21102601,dミールキット_DS,DS
d20052801,dカードゴールド,dカード
d20060401,dカードゴールド,dカード
d20061101,dカードゴールド,dカード
d20061801,dカードゴールド,dカード
d20062501,dカードゴールド,dカード
d20070201,dカードゴールド,dカード
d20070901,dカードゴールド,dカード
d20071601,dカードゴールド,dカード
d20072301,dカードゴールド,dカード
d20073001,dカードゴールド,dカード
d20080601,dカードゴールド,dカード
d20081301,dカードゴールド,dカード
d20082001,dカードゴールド,dカード
d20082701,dカードゴールド,dカード
d20090301,dカードゴールド,dカード
d20091001,dカードゴールド,dカード
d20091701,dカードゴールド,dカード
d20092401,dカードゴールド,dカード
d20100101,dカードゴールド,dカード
d20100801,dカードゴールド,dカード
d20101501,dカードゴールド,dカード
d20102201,dカードゴールド,dカード
d20102901,dカードゴールド,dカード
d20110501,dカードゴールド,dカード
d20111201,dカードゴールド,dカード
d20111901,dカードゴールド,dカード
d20112601,dカードゴールド,dカード
d20120301,dカードゴールド,dカード
d20121001,dカードゴールド,dカード
d20121701,dカードゴールド,dカード
d20122401,dカードゴールド,dカード
d20123101,dカードゴールド,dカード
d21010701,dカードゴールド,dカード
d21011401,dカードゴールド,dカード
d21012101,dカードゴールド,dカード
d21012801,dカードゴールド,dカード
d21020401,dカードゴールド,dカード
d21021101,dカードゴールド,dカード
d21021801,dカードゴールド,dカード
d21022501,dカードゴールド,dカード
d21030401,dカードゴールド,dカード
d21031101,dカードゴールド,dカード
d21031801,dカードゴールド,dカード
d21032501,dカードゴールド,dカード
d21040101,dカードゴールド,dカード
d21040801,dカードゴールド,dカード
d21041501,dカードゴールド,dカード
d21042201,dカードゴールド,dカード
d21042901,dカードゴールド,dカード
d21050601,dカードゴールド,dカード
d21051301,dカードゴールド,dカード
d21052001,dカードゴールド,dカード
d21052701,dカードゴールド,dカード
d21060301,dカードゴールド,dカード
d21061001,dカードゴールド,dカード
d21061701,dカードゴールド,dカード
d21062401,dカードゴールド,dカード
d20052802,dカードゴールド,dカード
d20060402,dカードゴールド,dカード
d20061102,dカードゴールド,dカード
d20061802,dカードゴールド,dカード
d20062502,dカードゴールド,dカード
d20070202,dカードゴールド,dカード
d20070902,dカードゴールド,dカード
d20071602,dカードゴールド,dカード
d20072302,dカードゴールド,dカード
d20073002,dカードゴールド,dカード
d20080602,dカードゴールド,dカード
d20081302,dカードゴールド,dカード
d20082002,dカードゴールド,dカード
d20082702,dカードゴールド,dカード
d20090302,dカードゴールド,dカード
d20091002,dカードゴールド,dカード
d20091702,dカードゴールド,dカード
d20092402,dカードゴールド,dカード
d20100102,dカードゴールド,dカード
d20100802,dカードゴールド,dカード
d20101502,dカードゴールド,dカード
